idRun,idTrans,trantype,bfbSMViol,bfbRefViol,Tnuc,vn,dV,dVdT,vhi,vhf,vsi,vsf,vri,vrf,muRef,muMin,muMax,scaleFactor,muh,mus,mur,lamh,lams,lamr,ghs,ghr,ghr2,grs,a1,g1sq,g2sq,g3sq,Yt,Yb,Ytau,mR1,mR2,mS,Tc,Tn,Tp,STTn,STTp,alpha,betaH,fpeak,Ompeak,npoints_list,Tn_list,Tp_list,alpha_list,betaH_list,fpeak_list,Ompeak_list,vJ_list,SPolyCoeff_list
40,0,1,[0 3 5 6],,338.5334433,2114.478755,1.55337E+12,-69494758253,-2.93E-09,2114.478755,-8.86E-10,1499.723221,3.67E-10,-1215.936604,1061.895896,700,6283.185307,1,-9287.31958,5503191.92,1929769.314,0.270849619,0.471714481,2.107362771,0.298011548,2.657685433,1.162318403,2.042819367,8850.41384,0.131189178,0.406819139,1.110814867,0.860057865,0.014540726,0.010104007,1417.810128,1188.215527,2467.839844,367.7395467,338.5334433,335.3240681,139.9990172,119.0921228,49.767454,145.0664609,0.063420165,3.18E-13,"[60, 75, 100]","[339.29182278631157, 339.29005670072576, 339.2913795245484]","[335.3260091914558, 335.3252221372977, 335.3240680717915]","[15.69027151313469, 15.690508315384879, 15.69085551727227]","[1967.5301731965849, 1970.1686316250116, 1973.0022298310662]","[0.06324463742046235, 0.06332929985169969, 0.06342016504963578]","[3.1978947626098403e-13, 3.189341999442549e-13, 3.1801974996531703e-13]","[0.9944408405955679, 0.9944409225388731, 0.9944410426806196]","[array([ 3.12971134e+09, -5.65392480e+07,  4.25573430e+05, -1.70839688e+03,
        3.85760509e+00, -4.64556911e-03,  2.33100729e-06]), array([ 1.68101821e+08, -3.53738138e+06,  3.03670595e+04, -1.36818113e+02,
        3.42391761e-01, -4.52357223e-04,  2.46940563e-07]), array([-2.96983576e+08,  4.65764770e+06, -2.97791859e+04,  9.85310618e+01,
       -1.75432615e-01,  1.55063569e-04, -4.98290657e-08])]"
48,0,1,,,369.1633297,1621.986846,5.16902E+11,-15524507398,-1.45E-09,1621.986846,1.19E-09,-1016.984802,-9.35E-10,1076.423112,1169.792273,700,6283.185307,1,-9319.507394,1997448.269,2443920.367,0.270869582,2.094150788,0.247218645,0.882747604,1.522699231,-1.062085955,1.630641575,6304.592879,0.131333476,0.406177822,1.100328745,0.856571242,0.014482943,0.010108987,1577.971546,1069.231001,1841.046383,408.7440378,369.1633297,365.3063348,140.0007489,118.0098364,8.767894003,1104.006848,0.05981069,2.44E-13,"[60, 75, 100]","[369.9881452731869, 369.99051475370504, 369.99073534162113]","[365.3029378667904, 365.3043750558067, 365.3063347651318]","[2.9259577680518207, 2.9258846614523937, 2.9257849943897196]","[1701.8780322241582, 1703.330401760342, 1707.994810868002]","[0.0595959384551632, 0.05964703183237657, 0.05981069044254677]","[2.452705764101205e-13, 2.448486535285044e-13, 2.435079532322767e-13]","[0.972896679552432, 0.9728960766831183, 0.9728952547411692]","[array([ 2.25678978e+10, -3.71831477e+08,  2.55238658e+06, -9.34334046e+03,
        1.92369994e+01, -2.11216750e-02,  9.66196673e-06]), array([ 2.40217449e+10, -3.95829010e+08,  2.71741751e+06, -9.94857703e+03,
        2.04854460e+01, -2.24950089e-02,  1.02913770e-05]), array([ 2.23290048e+10, -3.68040103e+08,  2.52734853e+06, -9.25527942e+03,
        1.90630490e+01, -2.09387177e-02,  9.58192986e-06])]"
71,0,1,[5 6],,487.804039,3260.951322,1.16361E+13,-1.52413E+11,-2.60E-09,3260.951322,-4.48E-10,-2224.532854,-1.74E-09,2694.367716,1107.44165,700,6283.185307,1,-9301.297978,2213909.964,4042538.002,0.270855671,1.482777784,0.68448754,0.836833582,1.411241888,2.296841265,1.020981885,9148.03492,0.131251762,0.40654057,1.106239626,0.85853923,0.014515557,0.010106181,2021.197506,1145.669096,2229.750652,598.824836,487.804039,475.62792,140.000157,122.2313771,39.57909651,-491.216961,0.028462573,3.19E-12,"[60, 75, 100]","[490.33428146652636, 490.3262933004296, 490.3173839764961]","[475.6159391758096, 475.62751616067317, 475.6279199964031]","[16.22877822460406, 16.22639876365691, 16.2263157579731]","[624.3564614767164, 623.8279887325807, 624.2689849547958]","[0.0284658447713029, 0.0284424427870627, 0.028462573473260668]","[3.1905893276566958e-12, 3.1959335349059306e-12, 3.191417560675371e-12]","[0.9946211442048655, 0.9946203732420591, 0.9946203463436188]","[array([-1.52036809e+07,  1.91137945e+05, -1.00034263e+03,  2.78966124e+00,
       -4.37182853e-03,  3.65041118e-06, -1.26868432e-09]), array([-1.25219681e+07,  1.57366331e+05, -8.23247924e+02,  2.29468577e+00,
       -3.59413185e-03,  2.99913981e-06, -1.04157783e-09]), array([-1.00586185e+07,  1.26211948e+05, -6.59146627e+02,  1.83388473e+00,
       -2.86660983e-03,  2.38681028e-06, -8.26933395e-10])]"
76,1,1,,,315.8953776,1269.961415,37368594388,-10209190878,429.1526463,1269.961415,1.55E-06,-612.5162051,-6.30E-07,440.5210125,1071.522882,700,6283.185307,1,-9290.324749,1176407.46,5578253.518,0.27085058,3.417059022,2.800552885,1.283702261,1.347497347,-0.939335713,0.734983149,6961.53741,0.131202622,0.406759243,1.109828467,0.859730797,0.014535305,0.010104476,2370.4485,951.4423823,2438.32789,319.7808995,315.8953776,315.4149044,139.9974934,110.0996964,8.538756266,21290.62944,0.56512942,1.68E-15,"[60, 75, 100]","[316.004896722809, 316.01958588285106, 315.99595182726733]","[315.39936293252975, 315.385164191197, 315.4149043710166]","[2.2324638182992365, 2.2331665535614773, 2.2316948635199587]","[18726.2118353018, 19711.10174872128, 18690.91833616819]","[0.5661686388055872, 0.5959189904009486, 0.5651294201145439]","[1.6757978500561802e-15, 1.5128866465545031e-15, 1.681680130340222e-15]","[0.9656420302918057, 0.9656513552990512, 0.9656318207506335]","[array([ 9.95891967e+10, -7.36710419e+08,  3.31986240e+05,  6.35491549e+03,
        3.37883995e+00, -7.46124497e-02,  1.01377280e-04]), array([ 1.23745539e+11, -9.15397140e+08,  4.12697246e+05,  7.89516701e+03,
        4.19551248e+00, -9.26843880e-02,  1.25930271e-04]), array([ 6.61503302e+10, -4.89387140e+08,  2.20659386e+05,  4.22167508e+03,
        2.24350649e+00, -4.95687513e-02,  6.73555352e-05])]"
96,0,1,[0 3 5 6],,379.7062427,1946.116057,8.68597E+11,-48984648296,-1.49E-08,1946.116057,6.52E-09,-1161.67294,-9.51E-10,1015.165993,1178.337609,700,6283.185307,1,-9321.92528,1353689.23,4637697.12,0.27087194,2.443729123,1.593219292,-0.039366405,2.367441054,3.434242221,2.765421117,8089.905488,0.131344342,0.406129668,1.099548044,0.856310802,0.014478628,0.010109358,2170.099341,912.978589,2273.39063,402.1014472,379.7062427,376.850385,140.0009248,117.5871996,24.41004444,6050.710754,0.091405116,1.65E-13,"[60, 75, 100]","[380.2503590590689, 380.25045804094646, 380.25049055463916]","[376.85176663293703, 376.8513900759032, 376.8503850182039]","[7.274342132875641, 7.274390088154608, 7.274518144759027]","[2535.919330596461, 2531.2978892276114, 2530.267730497104]","[0.09160961444064596, 0.0914425743590815, 0.09140511632672037]","[1.6441185901804084e-13, 1.6501305786367758e-13, 1.6514828064407117e-13]","[0.9883226399655749, 0.9883227132143776, 0.988322908808628]","[array([ 4.76761327e+07, -4.91344821e+05,  1.56713745e+03,  1.30666420e-01,
       -1.08983046e-02,  2.21235325e-05, -1.41089805e-08]), array([ 1.57170587e+08, -1.65408489e+06,  5.42720032e+03,  1.13281219e-01,
       -3.80188793e-02,  7.97407145e-05, -5.23436599e-08]), array([ 1.75643473e+08, -1.84919303e+06,  6.07044576e+03,  1.20573190e-01,
       -4.25361059e-02,  8.92705537e-05, -5.86327607e-08])]"
97,1,1,[0 3 5 6],,414.9903192,1892.830924,6.75306E+11,-14917792389,253.1286296,1892.830924,-1.28E-07,1251.273019,-3.07E-07,-1341.989357,1167.299874,700,6283.185307,1,-9318.798766,1092629.576,4825999.213,0.270868913,1.828935124,1.198709523,1.605799636,-2.934547492,-4.686101502,0.959767162,6289.321689,0.131330292,0.406191935,1.100557735,0.85664761,0.014484209,0.010108879,2176.512273,916.7310945,2262.717685,470.8355936,414.9903192,409.0116309,139.999656,119.9504283,6.0337133,1110.242109,0.047317219,3.90E-13,"[60, 75, 100]","[416.265553815875, 416.25664619904, 416.2611571541552]","[408.99993523069776, 409.00989985096254, 409.0116308542323]","[2.1384943363418865, 2.1381724529670736, 2.138116553735097]","[1201.6128151865914, 1200.5148655231264, 1206.8366531003785]","[0.047111057858353136, 0.047069157807784374, 0.04731721939676869]","[3.933305453651197e-13, 3.9400239641282263e-13, 3.8987715480307055e-13]","[0.9643475490415229, 0.9643429464795266, 0.9643421470631344]","[array([-5.40075200e+09,  7.94118028e+07, -4.86472696e+05,  1.58922086e+03,
       -2.92002116e+00,  2.86114364e-03, -1.16797889e-06]), array([-2.69728394e+09,  3.97185169e+07, -2.43668885e+05,  7.97181375e+02,
       -1.46685555e+00,  1.43934920e-03, -5.88413798e-07]), array([-4.21934019e+09,  6.20935174e+07, -3.80704048e+05,  1.24473792e+03,
       -2.28897488e+00,  2.24467090e-03, -9.17070051e-07])]"
109,0,1,[0 3 5 6],,474.5974767,2549.632967,6.80836E+12,-1.08285E+11,1.56E-09,2549.632967,3.93E-09,2787.443012,-2.52E-09,-1848.022186,1189.810916,700,6283.185307,1,-9325.143542,2730162.11,3013634.277,0.270875264,0.178673098,1.121830964,0.334833023,2.626695398,1.630380171,1.205224692,8496.648864,0.13135881,0.406065578,1.098510417,0.855964467,0.014472888,0.01010985,1758.724773,1189.796046,2095.067974,562.7805647,474.5974767,464.6340329,139.9999849,121.5645415,29.89870774,1013.569787,0.033780112,2.05E-12,"[60, 75, 100]","[476.6556118656572, 476.6603610988425, 476.65728326202446]","[464.64014034713347, 464.6318062452339, 464.6340328981271]","[11.495432218467524, 11.496680807937269, 11.49634728756357]","[757.6828876864975, 759.5166838747848, 758.429126695235]","[0.03374731849549075, 0.033828389294725154, 0.03378011207421357]","[2.0496223920658383e-12, 2.0397786782881803e-12, 2.045621636739459e-12]","[0.9924761322981068, 0.9924769237259741, 0.9924767123378668]","[array([-4.31682201e+07,  5.55609619e+05, -2.97818185e+03,  8.50957393e+00,
       -1.36694508e-02,  1.17042366e-05, -4.17307970e-09]), array([-5.62691674e+07,  7.24103689e+05, -3.88073876e+03,  1.10869809e+01,
       -1.78078666e-02,  1.52466944e-05, -5.43602711e-09]), array([-5.16897345e+07,  6.65549364e+05, -3.56895037e+03,  1.02020216e+01,
       -1.63957462e-02,  1.40455917e-05, -5.01058798e-09])]"
